;Unnamed: 0;municipio;codigo;area_territorial;populacao_estimada;densidade_demografica;escolarizacao;idhm;mortalidade_infantil;pib_per_capita;uf;receitas_realizadas;despesas_empenhadas;saldo_receitas_despesas;cidade;estado;longitude;latitude;altitude;unidades;unidades_urbanas;unidades_rurais;area_plantada;producao_graos;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;tipo_rural_urbano;GVA_agropecuaria;GVA_industria;GVA_Servicos;GVA_publico;GDP;GDP_populacao;GDP_per_capita;estabelecimentos;carros;motos
58;58;Codó;2103307;4361,344;123116;27,06;97,1;0,595;;7924,31;MA;224960,7777;201743,638;23217,1397;Codó;MA;-43.88608024;-4.4513375;44.27;29604;20372;9232;8577;20636;0.568;0.754;0.492;Urbano;45996.8;115690.46;413225.37;360203.69;1023.69;120548;8491.94;746;3313;28940
59;59;Coelho Neto;2103406;975,543;49621;47,92;96,5;0,564;;6956,75;MA;96117,00533;92243,25595;3873,74938;Coelho Neto;MA;-43.01401362;-4.2547375;55.58;11138;9313;1825;7406;93026;0.544;0.728;0.454;Urbano;41297.81;23356.54;135927.2;153091.23;375655.35;48546;7738.13;292;848;9329
60;60;Colinas;2103505;1980,551;41312;19,76;97,2;0,596;;7951,45;MA;73451,41152;73226,92312;224,4884;Colinas;MA;-44.24978023;-6.02736552;146.29;9888;6574;3314;10913;24519;0.571;0.709;0.524;Intermediário Adjacente;33796.99;21340.75;116561.78;115095.64;302857.97;40427;7491.48;284;952;7165
61;61;Conceição do Lago-Açu;2103554;733,228;16400;19,69;97,3;0,512;;6269,52;MA;35309,91695;33722,37117;1587,54578;Conceição do Lago-Açu;MA;-44.90301591;-3.841118458;8.94;3343;1628;1715;464;951;0.492;0.738;0.37;Rural Adjacente;27328.4;7422.45;19934.18;50639.16;107588.36;15995;6726.37;47;158;843
62;62;Coroatá;2103604;2263,772;65544;27,27;95,9;0,576;;6201,63;MA;113291,9916;134326,8854;-21034,89374;Coroatá;MA;-44.1255992;-4.128976;36.77;15952;11412;4540;4939;3291;0.545;0.737;0.475;Urbano;23792.35;26822.4;150120.96;177083.72;400038.04;64123;6238.6;367;1559;8168
63;63;Cururupu;2103703;1256,884;32626;26,69;96,8;0,612;;7050,23;MA;55629,25487;66930,63012;-11301,37525;Cururupu;MA;-44.86776162;-1.825520781;17.38;8443;5676;2767;624;1625;0.568;0.768;0.525;Intermediário Adjacente;36.42;7424.65;60836.02;89.37;201698.71;30805;6547.6;192;373;2220
64;64;Davinópolis;2103752;335,767;12916;37,46;98,7;0,607;;49011,39;MA;27150,48548;25752,37435;1398,11113;Davinópolis;MA;-47.40499639;-5.534456216;147.35;3326;2752;574;420;803;0.561;0.747;0.535;Urbano;8.37;21.66;482672.97;42612.2;717.03;12656;56655.59;53;539;2014
65;65;Dom Pedro;2103802;358,493;23372;63,27;96,5;0,622;;9794,57;MA;5687,27719;6365,12083;-677,84364;Dom Pedro;MA;-44.44000991;-5.038447635;137.88;6219;4270;1949;2134;3249;0.582;0.759;0.545;Intermediário Adjacente;8.42;16562.74;107624.5;67.46;217058.73;22897;9479.79;348;1120;6213
66;66;Duque Bacelar;2103901;317,921;11401;33,5;95,8;0,533;;6142,01;MA;32721,52109;29696,78845;3024,73264;Duque Bacelar;MA;-42.9441802;-4.147819097;49.64;2387;1269;1118;1943;6609;0.485;0.693;0.451;Rural Adjacente;6207.38;3455.74;16458.71;36150.02;64393.65;11148;5776.25;20;85;747
67;67;Esperantinópolis;2104008;452,411;17104;38,37;97,2;0,586;;7481,43;MA;39290,17447;35768,33148;3521,84299;Esperantinópolis;MA;-44.8860687;-4.870300897;115.31;4822;2755;2067;2051;4950;0.561;0.713;0.503;Rural Adjacente;14963.85;8.77;46.55;55.39;131773.03;16833;7828.26;232;330;4575
68;68;Estreito;2104057;2718,978;42527;13,18;93,4;0,659;;18883,37;MA;100079,7593;102677,2885;-2597,52929;Estreito;MA;-47.44788299;-6.56808498;150.29;9146;6827;2319;1394;2184;0.666;0.8;0.536;Urbano;45095.77;325665.13;167408.24;122568.93;687393.24;41397;16604.9;488;1601;6986
69;69;Feira Nova do Maranhão;2104073;1473,414;8484;5,52;94,9;0,532;;7795,59;MA;19587,84105;17230,29645;2357,5446;Feira Nova do Maranhão;MA;-46.68735522;-6.963135541;334.71;1994;530;1464;2598;5588;0.511;0.729;0.405;Rural Remoto;20441.86;2.36;15299.52;26921.33;67.15;8347;8045.02;37;148;879
70;70;Fernando Falcão;2104081;5086,589;10460;1,82;91,3;0,443;;5323,22;MA;28139,65931;26666,09166;1473,56765;Fernando Falcão;MA;-44.9107074;-6.154978463;236.54;1275;371;904;3076;4184;0.417;0.728;0.286;Rural Remoto;8864.2;1818.62;10293.85;29325.07;52251.23;10204;5120.66;14;53;758
71;71;Formosa da Serra Negra;2104099;3690,61;19258;4,49;95;0,556;;6956,68;MA;37603,91885;33929,19168;3674,72717;Formosa da Serra Negra;MA;-46.18635701;-6.435304106;273.04;3861;1370;2491;4628;4514;0.485;0.774;0.459;Rural Remoto;35658.1;4611.11;35303.93;50689.08;131613.9;18793;7003.35;104;324;2846
72;72;Fortaleza dos Nogueiras;2104107;1853,994;12647;7;97,6;0,616;;11460,48;MA;34199,10348;29535,59782;4663,50566;Fortaleza dos Nogueiras;MA;-46.18555754;-6.965926087;448.15;2851;1748;1103;16420;38094;0.566;0.773;0.534;Rural Adjacente;34885.17;6875.02;40230.26;39693.79;127913.38;12390;10323.92;147;508;3001
73;73;Fortuna;2104206;694,997;15567;21,72;97,3;0,58;;6753,65;MA;35723,51182;33205,39246;2518,11936;Fortuna;MA;-44.16062843;-5.736224132;217.82;3933;2565;1368;3155;5560;0.558;0.706;0.494;Rural Adjacente;13665.79;5.15;29.87;44.43;97366.15;15251;6384.25;46;319;2220
74;74;Godofredo Viana;2104305;720,129;11963;15,75;96,9;0,604;;6421,27;MA;30213,81868;27622,41782;2591,40086;Godofredo Viana;MA;-45.77175481;-1.409800187;18.74;2494;1652;842;1410;6629;0.537;0.75;0.546;Rural Adjacente;10911.41;3246.43;16796.99;34371.58;69.3;11654;5946.04;32;103;709
75;75;Gonçalves Dias;2104404;883,588;17944;19,79;96,9;0,568;;6536,8;MA;36381,0406;35861,5449;519,4957;Gonçalves Dias;MA;-44.30590654;-5.143955569;149.13;4568;2116;2452;1370;1496;0.542;0.758;0.445;Rural Adjacente;9726.96;5506.71;38795.35;51.33;110768.43;17583;6299.75;71;472;2066
